# Peter Rabbit — translations a person has read and corrected.
#
# One line per sentence: the English exactly as the segmenter produces it, a
# tab, then the Turkish. Keyed by text and not by position, so a re-import that
# renumbers the book still finds them.
#
# Only sentences where the machine translation was actually wrong are listed.
# The rest of the book's translation stands as it was produced.
'Now run along, and don't get into mischief.	'Haydi gidin bakalım, yaramazlık yapmayın.
She bought a loaf of brown bread and five currant buns.	Bir somun esmer ekmek ve beş kuru üzümlü çörek aldı.
And then, feeling rather sick, he went to look for some parsley.	Sonra midesi bulanınca maydanoz aramaya gitti.
But round the end of a cucumber frame, whom should he meet but Mr. McGregor!	Ama salatalık serasının köşesini dönünce karşısına kim çıksa beğenirsiniz: Bay McGregor!
After losing them, he ran on four legs and went faster, so that I think he might have got away altogether if he had not unfortunately run into a gooseberry net, and got caught by the large buttons on his jacket.	Onları kaybettikten sonra dört ayağı üstünde koştu ve daha hızlı gitti; sanırım ne yazık ki bir bektaşi üzümü ağına takılıp ceketinin büyük düğmelerinden yakalanmasaydı büsbütün kaçıp kurtulabilirdi.
It was a blue jacket with brass buttons, quite new.	Pirinç düğmeli, mavi bir ceketti; hem de yepyeni.
Peter gave himself up for lost, and shed big tears; but his sobs were overheard by some friendly sparrows, who flew to him in great excitement, and implored him to exert himself.	Peter artık kurtulamayacağını düşündü ve iri iri gözyaşları döktü; ama hıçkırıklarını duyan birkaç cana yakın serçe büyük bir heyecanla ona uçtu ve kendini toparlaması için yalvardı.
It would have been a beautiful thing to hide in, if it had not had so much water in it.	İçinde bu kadar çok su olmasaydı, saklanmak için harika bir yer olurdu.
A white cat was staring at some gold-fish, she sat very, very still, but now and then the tip of her tail twitched as if it were alive.	Beyaz bir kedi birkaç Japon balığına bakıyordu; hiç kıpırdamadan oturuyor, ama arada bir kuyruğunun ucu canlıymış gibi seğiriyordu.
I am sorry to say that Peter was not very well during the evening.	Üzülerek söylemeliyim ki Peter o akşam pek iyi değildi.
